trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5
37,0.4103,0.0000,0.1494,0.7142,0.8681,0.9988
38,0.4732,0.0000,0.1238,0.1625,0.6156,0.8480
39,0.5172,0.0000,0.0692,0.4072,0.5691,0.8073
40,0.4957,0.0000,0.4535,0.6974,0.7221,0.8664
41,0.4480,0.0000,0.0117,0.3600,0.8558,0.9755
42,0.4991,0.0000,0.0543,0.1716,0.5210,0.7300
43,0.3559,0.0000,0.0185,0.2000,0.2239,0.7937
44,0.4584,0.0000,0.0318,0.3454,0.7044,0.9281
45,0.4970,0.0000,0.1647,0.2379,0.5772,0.6215
46,0.4985,0.0000,0.5356,0.5899,0.6140,0.9342
47,0.4850,0.0000,0.2098,0.3119,0.3982,0.7301
48,0.4997,0.0000,0.1862,0.4905,0.7396,0.9444
49,0.4914,0.0000,0.0580,0.2274,0.2544,0.4344
50,0.4806,0.0000,0.1796,0.3118,0.3778,0.6963
trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5
trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5
4,0.3452,0.0000,0.0202,0.7782,0.8326,0.8700
3,0.4907,0.0000,0.0710,0.0871,0.5680,0.9256
1,0.4962,2,0.5185,0.0000,0.4237,0.4376,0.6459,0.8918
0.0000,0.3834,0.5289,0.7917,0.9637
6,0.4608,0.0000,0.1183,0.1434,0.6399,0.9447
8,0.5139,5,0.4969,0.0000,0.0188,0.4562,0.5684,0.6176
0.0000,0.4615,0.7805,0.7992,0.9786
7,0.5181,0.0000,0.2646,0.4147,0.5218,0.7742
9,0.4748,0.0000,0.6121,0.6169,0.6818,0.9437
11,0.4576,13,0.3304,0.0000,0.1289,0.2104,0.6668,0.6706
0.0000,0.1020,0.1613,0.2089,0.9884
15,0.4511,0.0000,0.1104,0.1382,0.1590,0.6563
16,0.4655,10,0.4998,0.0000,0.0971,0.1966,0.3687,0.8210
0.0000,0.0602,0.3595,0.4370,0.6976
14,0.5097,0.0000,0.2444,0.2533,0.4663,0.6531
12,0.5249,0.0000,0.3154,0.3637,0.4386,0.5702
17,0.4980,0.0000,0.0961,0.4687,0.8379,0.9765
18,0.4779,0.0000,0.0392,0.6048,0.7393,0.9768
21,0.5070,0.0000,0.0939,0.2654,0.5232,0.5666
19,0.4169,0.0000,0.1187,0.1202,0.2828,0.2961
20,0.4954,0.0000,0.0641,0.3180,0.4143,0.6925
24,0.4850,0.0000,0.0047,0.0201,0.5865,0.8289
23,0.4422,0.0000,0.1318,0.1832,0.2894,0.7163
22,0.5116,0.0000,0.3186,0.5759,0.6674,0.9293
25,0.4654,0.0000,0.2700,0.6778,0.7352,0.9622
26,0.4991,0.0000,0.2488,0.5723,0.5762,0.5920
28,0.4887,0.0000,0.2974,0.3965,0.6995,0.8138
27,0.4944,0.0000,0.2231,0.4471,0.8464,0.9527
30,0.5000,0.0000,0.5013,0.6440,0.7253,0.9561
32,0.5149,0.0000,0.2901,0.4288,0.6180,0.6602
31,0.5142,0.0000,0.0192,0.3016,0.4239,0.6064
29,0.4868,0.0000,0.5813,0.6925,0.8811,0.8817
33,0.5069,0.0000,0.1355,0.2983,0.5700,0.5909
37,0.4103,0.0000,0.1494,0.7142,0.8681,0.9988
35,0.4983,0.0000,0.3676,0.4359,0.8919,0.8965
34,0.5155,0.0000,0.4314,0.5743,0.6521,0.6532
38,0.4732,0.0000,0.1238,0.1625,0.6156,0.8480
40,0.4957,0.0000,0.4535,0.6974,0.7221,0.8664
36,0.4168,0.0000,0.1002,0.7039,0.8062,0.9195
39,0.5172,0.0000,0.0692,0.4072,0.5691,0.8073
44,0.4584,0.0000,0.0318,0.3454,0.7044,0.9281
41,0.4480,0.0000,0.0117,0.3600,0.8558,0.9755
43,0.3559,0.0000,0.0185,0.2000,0.2239,0.7937
42,0.4991,0.0000,0.0543,0.1716,0.5210,0.7300
46,0.4985,0.0000,0.5356,0.5899,0.6140,0.9342
45,0.4970,0.0000,0.1647,0.2379,0.5772,0.6215
48,0.4997,0.0000,0.1862,0.4905,0.7396,0.9444
47,0.4850,0.0000,0.2098,0.3119,0.3982,0.7301
49,0.4914,0.0000,0.0580,0.2274,0.2544,0.4344
50,0.4806,0.0000,0.1796,0.3118,0.3778,0.6963
trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5
1,0.4962,0.0000,0.4237,0.4376,0.6459,0.8918
2,0.5185,0.0000,0.3834,0.5289,0.7917,0.9637
3,0.4907,0.0000,0.0710,0.0871,0.5680,0.9256
4,0.3452,0.0000,0.0202,0.7782,0.8326,0.8700
5,0.4969,0.0000,0.4615,0.7805,0.7992,0.9786
6,0.4608,0.0000,0.1183,0.1434,0.6399,0.9447
7,0.5181,0.0000,0.2646,0.4147,0.5218,0.7742
8,0.5139,0.0000,0.0188,0.4562,0.5684,0.6176
9,0.4748,0.0000,0.6121,0.6169,0.6818,0.9437
10,0.4998,0.0000,0.0602,0.3595,0.4370,0.6976
11,0.4576,0.0000,0.1289,0.2104,0.6668,0.6706
12,0.5249,0.0000,0.3154,0.3637,0.4386,0.5702
13,0.3304,0.0000,0.1020,0.1613,0.2089,0.9884
14,0.5097,0.0000,0.2444,0.2533,0.4663,0.6531
15,0.4511,0.0000,0.1104,0.1382,0.1590,0.6563
16,0.4655,0.0000,0.0971,0.1966,0.3687,0.8210
17,0.4980,0.0000,0.0961,0.4687,0.8379,0.9765
18,0.4779,0.0000,0.0392,0.6048,0.7393,0.9768
19,0.4169,0.0000,0.1187,0.1202,0.2828,0.2961
20,0.4954,0.0000,0.0641,0.3180,0.4143,0.6925
21,0.5070,0.0000,0.0939,0.2654,0.5232,0.5666
22,0.5116,0.0000,0.3186,0.5759,0.6674,0.9293
23,0.4422,0.0000,0.1318,0.1832,0.2894,0.7163
24,0.4850,0.0000,0.0047,0.0201,0.5865,0.8289
25,0.4654,0.0000,0.2700,0.6778,0.7352,0.9622
26,0.4991,0.0000,0.2488,0.5723,0.5762,0.5920
27,0.4944,0.0000,0.2231,0.4471,0.8464,0.9527
28,0.4887,0.0000,0.2974,0.3965,0.6995,0.8138
29,0.4868,0.0000,0.5813,0.6925,0.8811,0.8817
30,0.5000,0.0000,0.5013,0.6440,0.7253,0.9561
31,0.5142,0.0000,0.0192,0.3016,0.4239,0.6064
32,0.5149,0.0000,0.2901,0.4288,0.6180,0.6602
33,0.5069,0.0000,0.1355,0.2983,0.5700,0.5909
34,0.5155,0.0000,0.4314,0.5743,0.6521,0.6532
35,0.4983,0.0000,0.3676,0.4359,0.8919,0.8965
36,0.4168,0.0000,0.1002,0.7039,0.8062,0.9195
37,0.4103,0.0000,0.1494,0.7142,0.8681,0.9988
38,0.4732,0.0000,0.1238,0.1625,0.6156,0.8480
39,0.5172,0.0000,0.0692,0.4072,0.5691,0.8073
40,0.4957,0.0000,0.4535,0.6974,0.7221,0.8664
41,0.4480,0.0000,0.0117,0.3600,0.8558,0.9755
42,0.4991,0.0000,0.0543,0.1716,0.5210,0.7300
43,0.3559,0.0000,0.0185,0.2000,0.2239,0.7937
44,0.4584,0.0000,0.0318,0.3454,0.7044,0.9281
45,0.4970,0.0000,0.1647,0.2379,0.5772,0.6215
46,0.4985,0.0000,0.5356,0.5899,0.6140,0.9342
47,0.4850,0.0000,0.2098,0.3119,0.3982,0.7301
48,0.4997,0.0000,0.1862,0.4905,0.7396,0.9444
49,0.4914,0.0000,0.0580,0.2274,0.2544,0.4344
50,0.4806,0.0000,0.1796,0.3118,0.3778,0.6963
trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5
1,0.4962,0.0000,0.4237,0.4376,0.6459,0.8918
2,0.5185,0.0000,0.3834,0.5289,0.7917,0.9637
3,0.4907,0.0000,0.0710,0.0871,0.5680,0.9256
4,0.3452,0.0000,0.0202,0.7782,0.8326,0.8700
5,0.4969,0.0000,0.4615,0.7805,0.7992,0.9786
6,0.4608,0.0000,0.1183,0.1434,0.6399,0.9447
7,0.5181,0.0000,0.2646,0.4147,0.5218,0.7742
8,0.5139,0.0000,0.0188,0.4562,0.5684,0.6176
9,0.4748,0.0000,0.6121,0.6169,0.6818,0.9437
10,0.4998,0.0000,0.0602,0.3595,0.4370,0.6976
11,0.4576,0.0000,0.1289,0.2104,0.6668,0.6706
12,0.5249,0.0000,0.3154,0.3637,0.4386,0.5702
13,0.3304,0.0000,0.1020,0.1613,0.2089,0.9884
14,0.5097,0.0000,0.2444,0.2533,0.4663,0.6531
15,0.4511,0.0000,0.1104,0.1382,0.1590,0.6563
16,0.4655,0.0000,0.0971,0.1966,0.3687,0.8210
17,0.4980,0.0000,0.0961,0.4687,0.8379,0.9765
18,0.4779,0.0000,0.0392,0.6048,0.7393,0.9768
19,0.4169,0.0000,0.1187,0.1202,0.2828,0.2961
20,0.4954,0.0000,0.0641,0.3180,0.4143,0.6925
